"","Q1","Q4","Q4.1","Q6","Q10","Q11","Q12","Q13","Q16","Q18","Q20","Q26","Q27","Q28","Q29","project_id","city","work_group_id","C_O","P_I_C","LightMon.OFF","LightKey.OFF","LightSurf.OFF","LightMon.ON","LightKey.ON","LightSurf.ON","CRR","UGR","Shading","panelNum","panHeight","ceil_fix","ceil_len","ceil_lam","panelCol","task_type","tl","vseat","wdimen","gtranc","View","Q22","Q23"
"1",7,7,NA,4,7,7,7,7,1,7,7,7,7,4,7,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",867,269,334,867,269,334,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",4,1
"2",5,2,NA,5,5,4,4,4,1,4,5,4,5,4,2,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","P",538,327,439,538,327,439,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",3,1
"3",4,5,NA,2,6,5,4,5,1,4,3,5,5,3,3,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",572,519,487,572,519,487,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",NA,1
"4",3,5,NA,2,3,5,5,5,2,3,2,5,6,4,3,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",494,317,415,494,317,415,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",3,1
"5",4,6,NA,2,2,2,2,2,1,2,2,2,2,3,3,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","P",654,312,435,654,312,435,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",2,1
"6",5,4,NA,4,6,4,4,4,6,4,4,7,6,4,4,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","P",530,337,562,530,337,562,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",4,1
"7",1,3,NA,5,1,5,3,3,1,1,4,4,4,2,2,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",686,328,443,686,328,443,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",3,1
"8",4,4,NA,3,5,4,4,3,1,5,3,5,5,4,3,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","P",628,380,513,628,380,513,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",1,2
"9",3,3,NA,1,3,4,4,2,1,3,1,2,2,2,3,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",656,545,500,656,545,500,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",4,1
"10",7,4,NA,1,4,4,4,4,1,4,NA,7,7,4,4,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","P",NA,NA,NA,NA,NA,NA,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",4,1
"11",5,4,NA,5,4,4,5,5,2,4,4,5,5,4,4,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",419,315,473,419,315,473,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",1,2
"12",3,4,NA,1,4,4,4,4,1,4,1,1,1,1,4,"200507_DOJ_DEN","Denver","0507_DOJ_01_01","O","I",695,299,406,695,299,406,NA,NA,"2","5","Standing privacy","1","4","3","1","1","1",NA,"1","4","1",4,1
